Franchise,Lg,From,To,Yrs,G,W,L,wl_pct,Plyfs,Div,Conf,Champ
Texas Chaparrals,ABA,1970-71,1970-71,1,84,30,54,.357,1,0,0,0
Dallas Chaparrals,ABA,1967-68,1972-73,5,408,202,206,.495,4,0,0,0
Toronto Raptors,NBA,1995-96,2025-26,31,2468,1168,1300,.473,13,7,1,1
Utah Jazz,NBA,1974-75,2025-26,52,4191,2215,1976,.529,31,11,2,0
Utah Jazz,NBA,1979-80,2025-26,47,3781,2054,1727,.543,31,11,2,0
New Orleans Jazz,NBA,1974-75,1978-79,5,410,161,249,.393,0,0,0,0
Washington Wizards,NBA,1961-62,2025-26,65,5245,2307,2938,.440,30,8,4,1
Washington Wizards,NBA,1997-98,2025-26,29,2304,929,1375,.403,9,1,0,0
Washington Bullets,NBA,1974-75,1996-97,23,1886,887,999,.470,13,2,3,1
Capital Bullets,NBA,1973-74,1973-74,1,82,47,35,.573,1,1,0,0
Baltimore Bullets,NBA,1963-64,1972-73,10,813,401,412,.493,7,4,1,0
Chicago Zephyrs,NBA,1962-63,1962-63,1,80,25,55,.313,0,0,0,0
Chicago Packers,NBA,1961-62,1961-62,1,80,18,62,.225,0,0,0,0
